relative_path,size_bytes,sha256
gneiss_rg_20260210_095000_103000_step60s.h5,77411739,c7763606f8dfb0c4c06a7902bc84341592c3fd7b1185aeaffcd6cfbc1db7d3d3
gneiss_rg_20260210_101900_102840_step1s.h5,534982723,0e198f6116125bea8c47693a6f92cddc7b9c107632d6d5d960a63d22b5b6e5a5
gneiss_rg_20260210_101900_102840_step1s_footprints.h5,238490,6afd294421476c6b12dbb27f7eb318dd2990292eed57467ccc6312909caee334
gneiss_rg_20260210_101900_102840_step1s_footprints.png,198197,5e2fb8f897ae0b2e09bb35f8a3aebaa5f05cfef096b26714a2a1e1dd6ccdf2b8
